query_number,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd,ch,int,nre,pb,sc,sil,vdb,vdu,dataset_id,estimator,best_strategy,best_score
0.0,0.14824548362683568,0.1757695020333979,2.6612223126788073,0.7940249344616788,0.03400735294117647,0.0,379.06686580882354,65.46997566222922,0.3546709260020404,0.24746921057834154,523614.7095094564,9793965.59430487,118755806.97467783,722253386.4410216,1.4231100064451745,4.1482337408357175,0.79380557067667,2.1046283925158162,29.405405405405407,364.0250675675676,1951.538060398744,71.50168015631245,124.96526521472039,112.09357581081076,568.9978562880864,41015.435405405406,230298.4025972016,588.0094221979332,3227.7473971352433,81.27635135135134,397.518538704047,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26426426426426425,1088.0,0.0,37.0,34.0,,0.1267123287671233,0.10956955813277272,41015.21810810811,230298.4421255261,1942.948997233292,10870.817175466007,5.373329262875527,4.841489453934359,0.03745881505786485,0.08636867273297241,0.03400735294117647,0.0009191176470588235,0.02702702702702703,139.62851268699893,715.9770239626271,0.2218945638249015,0.1239277353975356,118755806.974678,719788881.2968204,1.0854188872995119,0.2582455081747578,728.8229009035538,1385596.279620206,0.007345254345341421,-0.6605153634283798,1.0,0.9757400079797554,0.017487790290883376,,44611.0,GaussianNB,uncertainty_sampling,0.8767123287671232
1.0,0.13415018471222176,0.13968825429530884,2.6608032508751345,0.7928078027196034,0.034164358264081256,0.0,377.15293167128345,65.1994544241973,0.3543997267985675,0.24746352841642147,525798.6281275619,9835418.121183893,119259986.48448777,725319703.4661524,1.4261616842786038,4.153795216329157,0.7945345521130409,2.1044448997251464,29.27027027027027,364.85756756756757,1955.8848759160069,71.21143729398352,124.4344722654338,112.8711394054054,573.0654618349294,41015.435405405406,230298.4025972016,590.5739280277506,3242.0109833076826,81.71378378378378,399.7724327202453,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26426426426426425,1083.0,0.0,37.0,34.0,,0.1267123287671233,0.10949677598590976,41015.21810810811,230298.4421255261,1947.0609764685973,10893.870322113404,5.362958418607278,4.831667074815075,0.03745503606685774,0.08636890328826966,0.034164358264081256,0.0009233610341643582,0.02702702702702703,140.8394631959148,722.5621338374693,0.2218945638249015,0.12383128153518894,119259986.48448774,722844800.5047047,1.0863101204452081,0.2584048965662372,1274.5547927846635,417962.9165905345,0.07302607538137579,-0.7334424256504426,0.0,0.9332796345130686,0.4820004696629869,1.8388821434980005e-06,44611.0,GaussianNB,uncertainty_sampling,0.8767123287671232
2.0,0.16595231693584922,0.22732699362207479,2.6612931589554405,0.7922547652828938,0.03432282003710575,0.0,375.38334879406307,65.03594309587129,0.3544764710351829,0.24745349323257315,528128.4133533593,9879369.442949736,119793851.83004995,728566776.8594393,1.4266422540814305,4.1526167329290224,0.7948667982060612,2.103264951984324,29.135135135135137,363.01094594594593,1945.6837642302924,71.06673265925447,124.23577681559532,112.57622221621622,571.6912413590842,41015.435405405406,230298.4025972016,591.409227799228,3246.9467883301304,81.57675675675677,399.0735559065665,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.2627627627627628,1078.0,0.0,37.0,34.0,,0.1267123287671233,0.10938508596212577,41015.21810810811,230298.4421255261,1951.3853340929643,10918.231494708576,5.361147626024006,4.829663183402321,0.03745737811639997,0.08636679955834788,0.03432282003710575,0.0009276437847866419,0.02702702702702703,139.80802635969303,716.882621495474,0.2218945638249015,0.1237130378948422,119793851.83005004,726080834.9251261,1.0866109430175674,0.2589525831391176,1268.8932883364632,417959.6632395271,0.07329994516650848,-0.7333844169489323,0.0,0.9331492761013594,0.48209062013448073,1.8475316361767305e-06,44611.0,GaussianNB,entropy_sampling,0.8767123287671232
3.0,0.1547080821135567,0.19875416803117782,2.6624214255842205,0.7913126436509433,0.034482758620689655,0.0,373.0738583410997,64.56216259006463,0.3543177260555757,0.24738786649659647,530351.9059353529,9921624.326134415,120307847.69755201,731692793.8716648,1.429757146112062,4.163486189278866,0.7947161472975948,2.1025562646299916,29.0,364.20729729729726,1952.4094781472352,70.76474708246668,123.6962853540391,112.9749214054054,573.6610119125095,41015.435405405406,230298.4025972016,593.9922012039998,3261.2944774909065,81.8227027027027,400.18679236249335,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.2627627627627628,1073.0,0.0,37.0,34.0,,0.1267123287671233,0.10918698996704268,41015.21810810811,230298.4421255261,1955.559582587393,10941.631090841633,5.349582689151426,4.820047518288519,0.0374536049351286,0.0863670000687642,0.034482758620689655,0.0009319664492078285,0.02702702702702703,141.0149356798659,723.4000875964745,0.2218945638249015,0.12350305447301972,120307847.69755208,729196254.123111,1.0883381842470337,0.25881446368090133,1261.054535086634,510445.4497546862,0.05285139117922497,-0.741005240227971,1.0,0.9426565129080665,0.4251001338306487,2.7432110357012685e-06,44611.0,GaussianNB,uncertainty_sampling,0.8767123287671232
4.0,0.12407788503263407,0.1596448487424079,2.664376943914242,0.7910713229088716,0.03464419475655431,0.0,370.89852528089887,64.18551814836471,0.35409246024183827,0.24739605120693242,532597.8481366372,9964333.677736552,120827533.436999,734853421.780951,1.4328375755790848,4.173452594303683,0.7955042943079241,2.103886501506657,28.864864864864863,365.6976351351351,1960.3558230523684,70.47479278258287,123.17381230506071,113.73104740540539,577.7810542530507,41015.435405405406,230298.4025972016,596.551160036441,3275.4996323176515,82.34108108108107,402.96659486091255,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.2627627627627628,1068.0,0.0,37.0,34.0,,0.1267123287671233,0.10890285876674426,41015.21810810811,230298.4421255261,1959.7699611051746,10965.239142211974,5.339124013265772,4.810494261677698,0.03745002498492103,0.08636710162109305,0.03464419475655431,0.0009363295880149813,0.02702702702702703,142.1364511240212,729.4451794682329,0.2218945638249015,0.1231932161293533,120827533.43699917,732346173.6597772,1.089727600855512,0.25880627976840825,1255.347820669733,510380.4989876097,0.053054883875530305,-0.7410282303043485,1.0,0.9424421639669848,0.4252772533128839,2.75617517103067e-06,44611.0,GaussianNB,entropy_sampling,0.8767123287671232
5.0,0.13797353267355153,0.16289611020537276,2.667528041874819,0.7889600840509546,0.034807149576669805,0.0,368.9059266227658,63.89265205634819,0.3540521783068395,0.24730667983832846,534915.862536698,10008199.803210353,121360854.71977012,738096983.1661164,1.4352939649239826,4.179703456995912,0.7955872164575629,2.10297602528157,28.72972972972973,367.6713513513514,1970.8307740278126,70.17276026389587,122.6279747718212,113.79515983783782,577.8994436409636,41015.435405405406,230298.4025972016,598.773895146322,3287.873311581213,82.3891891891892,403.05131609027427,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26126126126126126,1063.0,0.0,37.0,34.0,,0.1267123287671233,0.10873196142219206,41015.21810810811,230298.4421255261,1964.0829598493824,10989.41361205332,5.328552211086949,4.799709192431558,0.037446809440823105,0.08636704210670514,0.034807149576669805,0.0009407337723424271,0.02702702702702703,142.6893803662818,732.3905788183247,0.22189456382490155,0.1230142096124608,121360854.71977022,735578727.18881,1.090658231898094,0.259064680645725,713.3086638472511,1385259.2660908962,0.0074961240488143396,-0.661183981031918,1.0,0.9753127520823754,0.01779617022751228,,44611.0,GaussianNB,uncertainty_batch_sampling,0.8767123287671232
6.0,0.11657580803383381,0.14031839080823033,2.667537379068587,0.7906970906887504,0.03497164461247637,0.0,366.6225189035917,63.43912168411284,0.35407969348623936,0.24721623188996034,537226.9450732466,10051921.380184393,121892398.79308856,741329722.1220243,1.436978415025046,4.184207420999522,0.7949180540672336,2.100170977107439,28.594594594594593,369.58520270270265,1981.245716195279,69.85883447879566,122.08077268245216,114.73520837837836,582.3985562927899,41015.435405405406,230298.4025972016,601.2985431461708,3301.9425240681016,82.86472972972973,405.17836357369606,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26126126126126126,1058.0,0.0,37.0,34.0,,0.12627986348122866,0.10876006285603523,41015.21810810811,230298.4421255261,1968.3749067579881,11013.45422618621,5.316444065684423,4.789624287930953,0.0374432537870673,0.08636710519032409,0.03497164461247637,0.000945179584120983,0.02702702702702703,143.73212434132247,738.0630350342565,0.22124063760322638,0.12315278629974297,121892398.79308859,738800494.082793,1.0925842059200979,0.25886675208424215,1245.3530971078371,417731.0018980424,0.07441818748219668,-0.7332511136962374,0.0,0.9321439868985746,0.48291212201218936,1.8829588966978567e-06,44611.0,GaussianNB,margin_sampling,0.8767123287671232
7.0,0.1921211187469487,0.20915342649149743,2.672328360937485,0.786875434043939,0.03513770180436847,0.0,364.49893162393164,63.07743537776484,0.35378740584321716,0.24719645798934164,539517.1160455672,10095555.343509838,122423420.85438505,744559290.5979258,1.4420716919931023,4.199374985682299,0.7960730243122888,2.10217343630833,28.45945945945946,370.2610810810811,1984.0171392093807,69.56333628632069,121.54213194372299,117.11498172972975,595.7394579438577,41015.435405405406,230298.4025972016,604.0122057955391,3316.996318561771,84.33837837837837,413.2316381920108,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26126126126126126,1053.0,0.0,37.0,34.0,,0.12585034013605442,0.10857405487081541,41015.21810810811,230298.4421255261,1972.6486715241033,11037.419798004084,5.305680954347359,4.779456996491387,0.03743942086984508,0.08636727604681921,0.03513770180436847,0.000949667616334283,0.02702702702702703,145.0683642884591,745.2627445953303,0.22059033903962616,0.12302880815385255,122423420.85438502,742019124.2440158,1.094054187779709,0.25884012608106327,1239.5020124417572,417666.4007171984,0.07470358605235272,-0.7332240864360751,0.0,0.9318840694180195,0.483121994466699,1.8920290262580582e-06,44611.0,GaussianNB,consensus_entropy_sampling,0.8794520547945206
8.0,0.1555756710954213,0.16334447886811396,2.669270173126781,0.7903017507605961,0.035305343511450385,0.0,362.79437022900765,62.76893041981529,0.3538666172198869,0.24713336130839145,541869.313550415,10140018.788379852,122963943.99345277,747846636.3913168,1.4439002119012219,4.204560184594529,0.795544111352282,2.09984957195702,28.324324324324323,371.8547297297297,1992.3159968388532,69.2607013812761,120.98525273164098,117.80098475675675,599.0162695327971,41015.435405405406,230298.4025972016,606.5928556323499,3331.3953274567684,84.50824324324324,414.02506734565964,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26126126126126126,1048.0,0.0,37.0,34.0,,0.12585034013605442,0.10888830430013186,41015.21810810811,230298.4421255261,1976.9941759188027,11061.759964962277,5.295583380460423,4.768324144496478,0.037435869056815535,0.08636731445019247,0.035305343511450385,0.0009541984732824427,0.02702702702702703,146.16403346203344,751.2567005984508,0.2205903390396262,0.12337802605014637,122963943.99345253,745295310.9055848,1.0940151231698396,0.2589038439815642,704.0858392112517,1385012.2666458832,0.007589848868151554,-0.6617129327526979,1.0,0.9750214038829015,0.017985711023127526,,44611.0,GaussianNB,margin_sampling,0.8794520547945206
9.0,0.14356775495059826,0.16134663843082708,2.6676940509453124,0.7904351659310878,0.03547459252157239,0.0,361.3222674976031,62.59337846605645,0.35419880178519725,0.24724838038544605,544336.9053924845,10186442.9514938,123527984.0851843,751277040.6569053,1.4413055134651307,4.1971455307967025,0.7935538672235324,2.0938282324044115,28.18918918918919,370.4831081081082,1984.6451258349662,68.9976043203254,120.44402108905881,117.34738929729728,596.6504138649819,41015.435405405406,230298.4025972016,607.2069389235832,3334.947765838653,84.34027027027027,413.23133146974504,0.21729729729729727,0.4788217520855441,37.0,1.0,0.0,0.26126126126126126,1043.0,0.0,37.0,34.0,,0.12585034013605442,0.10910534956813736,41015.21810810811,230298.4421255261,1981.5137235867683,11087.103037603341,5.289800192763039,4.75695016119931,0.03743330211801703,0.08636691894033387,0.03547459252157239,0.0009587727708533077,0.02702702702702703,144.93065002801845,744.460870394167,0.22059033903962616,0.12363815927823214,123527984.08518425,748714057.1172284,1.093190998722538,0.25947540016809323,700.9356797446052,1384996.9427766493,0.007621646131672421,-0.6617256088164207,1.0,0.9749664679533192,0.018040400305834065,,44611.0,GaussianNB,uncertainty_sampling,0.8794520547945206
