query_number,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd,ch,int,nre,pb,sc,sil,vdb,vdu,dataset_id,estimator,best_strategy,best_score
0.0,0.08121071135908564,0.1895631723739899,0.5525357347428488,0.36982390962052847,0.048160535117056855,0.0,65.56809155518394,12.467659028066704,,,0.01281590002511656,0.025102917824086957,0.13171235667306902,0.25400505257600725,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.76388888888889,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.34647223446501757,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1495.0,1.0,72.0,45.0,,0.549618320610687,0.33136076655679875,0.9861111111111112,0.11785113019775793,0.33410503999582064,0.1427202958620306,,,0.5066144206455452,0.05896500657484876,0.048160535117056855,0.016053511705685617,0.3333333333333333,0.4997212931995541,0.4280049763813499,0.49538789025543994,0.23279932392061353,0.1317123566730691,0.08566939766307939,4.02400543003907,0.2621768399339675,195.75064809222812,4.564002875142423,0.6927334816022837,-0.37775213945097136,0.0,0.11436690727648015,2.7414366504434997,3.6562124119537653e-07,44645.0,LogisticRegression,consensus_entropy_sampling,0.698
1.0,0.18162116338025847,0.26275012635060885,0.5527669068618888,0.3700801507995299,0.04832214765100671,0.0,65.31237416107382,12.415199692504315,,,0.012834525902135612,0.025125207546685333,0.13176818919153094,0.25426383174705963,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.694444444444443,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.3463910047482082,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1490.0,1.0,72.0,45.0,,0.549618320610687,0.3312267677044898,0.9861111111111112,0.11785113019775793,0.33411802007789554,0.14288773911536595,,,0.5066133124393701,0.05896513901768278,0.04832214765100671,0.016107382550335572,0.3333333333333333,0.49973589361173254,0.42785781125590877,0.49538789025543994,0.23263764113801322,0.13176818919153083,0.08576595293124985,4.024550863561752,0.26200289908669294,165.6385176474546,4.541656126342101,1.0698986114438649,-0.43869179573537953,0.0,0.11611176926984942,2.489734908223277,6.142692992920084e-07,44645.0,LogisticRegression,entropy_sampling,0.756
2.0,0.07724524854955356,0.18549144457358904,0.5529423734288303,0.37006499425742456,0.048484848484848485,0.0,65.04127735690236,12.360347903034926,,,0.012839117979446322,0.02513062200779383,0.13183102614444325,0.2543139844645161,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.625,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.34629951061953307,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1485.0,1.0,72.0,45.0,,0.549618320610687,0.3311518149117012,0.9861111111111112,0.11785113019775793,0.3342432264421078,0.14281374672386815,,,0.5066121967654987,0.05896527235298871,0.048484848484848485,0.01616161616161616,0.3333333333333333,0.49973500436463403,0.4277502404938951,0.49538789025543994,0.23254290323334217,0.13183102614444334,0.08575099211153413,4.025526076706406,0.261733607371642,139.19252035348327,4.505605292421162,1.3564142876066243,-0.4480839299469173,0.0,0.11668482519668315,2.448553342569752,1.0784755071477165e-06,44645.0,LogisticRegression,max_disagreement_sampling,0.8
3.0,0.05699299519518312,0.1414113401443469,0.5525355409988166,0.37032607111888227,0.04864864864864865,0.0,64.90307221283784,12.301921840934293,,,0.012797315785631072,0.025138300693942246,0.13170386410751517,0.2542514809199738,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.555555555555557,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.3464859609226215,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1480.0,1.0,72.0,45.0,,0.549618320610687,0.3312932844839079,0.9861111111111112,0.11785113019775793,0.33382468630593726,0.14335398373093458,,,0.5066110735481932,0.058965406589818026,0.04864864864864865,0.016216216216216217,0.3333333333333333,0.49973410910910915,0.42783260534568796,0.49538789025543994,0.23271134797314003,0.13170386410751522,0.0858535024875261,4.023987527725896,0.2607427854398243,164.3276515731831,4.540146209024078,1.0696454989103918,-0.4381291624025046,0.0,0.115859079489416,2.4899215374463766,6.217572394683296e-07,44645.0,LogisticRegression,uncertainty_sampling,0.806
4.0,0.10018732520249457,0.18347916913401435,0.5525815876629623,0.3703758976030091,0.0488135593220339,0.0,64.66145127118644,12.251100682860926,,,0.012785865229578865,0.02513600667650373,0.1317282360667132,0.25419997913100684,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.48611111111111,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.34645075920394497,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1475.0,1.0,72.0,45.0,,0.549618320610687,0.3312685575845762,0.9861111111111112,0.11785113019775793,0.3338729091272367,0.14332629946833159,,,0.5066099427106887,0.05896554173734495,0.0488135593220339,0.016271186440677966,0.3333333333333333,0.49973320778405533,0.42777178374281394,0.49538789025543994,0.23266890118261555,0.1317282360667132,0.08587217273038895,4.024478990379548,0.2605601155046348,163.4649948887133,4.539386513658281,1.0705283687689158,-0.43669392115810773,0.0,0.11546823731552329,2.4942943249402725,6.281438720348455e-07,44645.0,LogisticRegression,entropy_sampling,0.808
5.0,0.11196873095956035,0.21652743332738156,0.5525731892251342,0.37017098793051995,0.04897959183673469,0.0,64.42876275510204,12.203577412433475,,,0.012776375513862384,0.025114374444383938,0.13172966940349995,0.2539824256897787,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.416666666666668,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.3464491074628498,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1470.0,1.0,72.0,45.0,,0.549618320610687,0.33129643631937017,0.9861111111111112,0.11785113019775793,0.3339330606736248,0.1431891976151426,,,0.5066088041751758,0.05896567780486866,0.04897959183673469,0.0163265306122449,0.3333333333333333,0.4997165532879818,0.4279921353308051,0.49538789025543994,0.23267731991762833,0.13172966940349998,0.0857856296359868,4.024834607720537,0.2603684553327472,162.75238605378325,4.538924419025247,1.0702857316784635,-0.4360726371657243,0.0,0.1154670715025324,2.496236696622387,6.313378239265481e-07,44645.0,LogisticRegression,consensus_entropy_sampling,0.852
6.0,0.16989800693349572,0.23443716667303802,0.5524766689496767,0.3700519228594678,0.049146757679180884,0.0,64.2432273890785,12.195994773628291,,,0.012778117872226689,0.02509857860487045,0.13169655346052705,0.2538638941059012,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.34722222222222,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.3464979850650144,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1465.0,1.0,72.0,45.0,,0.549618320610687,0.33135357580513947,0.9861111111111112,0.11785113019775793,0.33391033309661355,0.14312566573568852,,,0.5066076578627808,0.058965814801815356,0.049146757679180884,0.016382252559726963,0.3333333333333333,0.4997155858930603,0.4280839221463844,0.49538789025543994,0.2327630789915398,0.13169655346052705,0.085748804590387,4.024276901752829,0.26108506935078657,162.11085223443857,4.5386357121338,1.0699357372194431,-0.4360629194694881,0.0,0.11553679922546999,2.497456189930357,6.347262238472469e-07,44645.0,LogisticRegression,margin_sampling,0.874
7.0,0.07161463732699855,0.17998636439418592,0.5526080291889641,0.3700642109893134,0.049315068493150684,0.0,63.98594820205479,12.14319539291649,,,0.012801559451381254,0.0251051417483459,0.13175016926378336,0.25399112191928247,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.27777777777778,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.3464200227117613,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1460.0,1.0,72.0,45.0,,0.549618320610687,0.3312945871439608,0.9861111111111112,0.11785113019775793,0.33401492322478116,0.14306811258478866,,,0.5066065036935498,0.05896595273774042,0.049315068493150684,0.01643835616438356,0.3333333333333333,0.4997146118721461,0.4280568625001557,0.49538789025543994,0.23269507498834352,0.13175016926378338,0.08573554252106758,4.024953250515224,0.2608853355242822,161.57797966593088,4.5394649252785175,1.069632611359533,-0.4360236821732525,0.0,0.11558993325291794,2.4959418342905924,6.380574378567167e-07,44645.0,LogisticRegression,entropy_sampling,0.894
8.0,0.13480615085607695,0.21035333503767611,0.5526113162919071,0.3700109751688455,0.049484536082474224,0.0,63.77271262886598,12.102760266684955,,,0.012810645866181391,0.025097798018813736,0.13174057897713956,0.253964482447652,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.208333333333332,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.34643450359745537,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1455.0,1.0,72.0,45.0,,0.549618320610687,0.33129856753949016,0.9861111111111112,0.11785113019775793,0.33400717943041486,0.1430524566820973,,,0.5066053415864283,0.058966091622330734,0.049484536082474224,0.016494845360824743,0.3333333333333333,0.49969772177675964,0.4281518850678655,0.49538789025543994,0.23269921723781523,0.1317405789771393,0.08571365038825927,4.024800352510987,0.2609005269059919,161.37933069749292,4.539965945851323,1.0692736856249723,-0.43711022782181136,0.0,0.11597606467105705,2.4926827373394946,6.415004029941469e-07,44645.0,LogisticRegression,entropy_sampling,0.924
9.0,0.06833190764127177,0.17989401528379056,0.552699218049034,0.3700884052575419,0.0496551724137931,0.0,63.5451400862069,12.06508138886484,,,0.012841268649526493,0.025117231044505146,0.13177031854443147,0.2542233398815843,0.013888888888888888,0.11785113019775793,0.013888888888888888,0.11785113019775793,20.13888888888889,0.3611111111111111,0.48369340643025116,,,0.0,0.0,1.0,0.0,0.5,0.3463914610136934,0.5,0.5035088149780135,0.013888888888888888,0.11785113019775793,72.0,71.0,0.0,0.025039123630672927,1450.0,1.0,72.0,45.0,,0.549618320610687,0.33125159008962307,0.9861111111111112,0.11785113019775793,0.33405419993183066,0.1430465266459394,,,0.5066041714592439,0.058966231465406825,0.0496551724137931,0.016551724137931035,0.3333333333333333,0.49969667943805873,0.42806095352813156,0.49538789025543994,0.23265698429284223,0.1317703185444315,0.08574139847714946,4.024768199335226,0.26099870814911613,161.044408800873,4.541214681757692,1.0694292478119378,-0.43842826361527265,0.0,0.11622157357960528,2.4896992191493146,6.476677366735567e-07,44645.0,LogisticRegression,entropy_sampling,0.93
